Statistic,Clarkson,Opponents OPP,Season,Type,"('#', '#')","('Player', 'Player')","('GP', 'GP')","('Shots', 'G')","('Shots', 'A')","('Shots', 'PTS')","('Shots', 'SH')","('Shots', 'SH%')","('Shots', '+/-')","('Goals', 'PPG')","('Goals', 'SHG')","('Goals', 'FG')","('Goals', 'GWG')","('Goals', 'GTG')","('Goals', 'OTG')","('Goals', 'HTG')","('Goals', 'UAG')","('Penalties', 'PN-PIM')","('Penalties', 'MIN')","('Penalties', 'MAJ')","('Penalties', 'OTH')","('BLK', 'BLK')","('Bio Link', 'Bio Link')","('Season', '')","('Type', '')","('GP-GS', 'GP-GS')","('MIN', 'MIN')","('Goals', 'GA')","('Goals', 'AVG')","('Goals', 'ENG')","('Saves', 'SV')","('Saves', 'SV%')","('Record', 'W')","('Record', 'L')","('Record', 'T')","('Record', 'SHO')","('Record', 'SO')","('Unnamed: 0_level_0', 'Date')","('Unnamed: 1_level_0', 'Opponent')","('Unnamed: 2_level_0', 'W/L')","('Shots', 'Score')","('Shots', 'PCT')","('Penalty', 'NO/MIN')","('Goals', 'PP')","('Goals', 'SH')","('Goals', 'EN')","('Goals', 'GW')","('Goals', 'HT')","('Goals', 'UA')","('Unnamed: 17_level_0', 'BLK')","('Unnamed: 3_level_0', 'Score')","('Goals Against', 'Minutes')","('Goals Against', 'GA')","('Goals Against', 'AVG')","('Saves', 'Saves')","('Saves', 'PCT')","('Shot Summary', 'Goals')","('Shot Summary', 'Assists')","('Shot Summary', 'Shots')","('Penalties', 'NO/MIN')","('Penalties', 'Unnamed: 7_level_1')","('Penalties', 'NO/MIN.1')",High,Game(s),Low,Player - Game,Date,Opponent,MIN,GA,SV,PPG,SHG,ENG,SOG,G,A,SH,FW-FL,PN,PIM,CLARKSON
,,,,,29,"Kielly, Jake Kielly, Jake",22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2018-19,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35,"Latinovich, Nicholas Latinovich, Nicholas",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2018-19,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TM,Team Team,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3-6,3.0,0.0,0.0,14.0,,2018-19,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Total,22.0,65.0,103.0,168.0,605.0,0.107,92.0,12.0,3.0,12.0,13.0,1.0,0.0,0.0,7.0,84-193,79.0,3.0,2.0,274.0,,2018-19,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Opponents,22.0,42.0,70.0,112.0,603.0,0.07,-99.0,9.0,0.0,10.0,7.0,1.0,1.0,0.0,1.0,78-183,74.0,1.0,3.0,287.0,,2018-19,Table_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,29,"Kielly, Jake Kielly, Jake",,,,,,,,9.0,0.0,,,,,,,,,,,,View Bio,2018-19,Table_4,22-22,1303:36,40.0,1.84,0.0,554.0,0.933,13.0,7.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35,"Latinovich, Nicholas Latinovich, Nicholas",,,,,,,,0.0,0.0,,,,,,,,,,,,View Bio,2018-19,Table_4,1-0,19:36,1.0,3.06,0.0,7.0,0.875,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TM,Team Empty Net,,,,,,,,0.0,0.0,,,,,,,,,,,,,2018-19,Table_4,22-0,09:00,1.0,6.67,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Total,,,,,,,,9.0,0.0,,,,,,,,,,,,,2018-19,Table_4,22,1332:12,43.0,1.89,1.0,561.0,0.93,13.0,7.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Opponents,,,,,,,,12.0,3.0,,,,,,,,,,,,,2018-19,Table_4,22,1332:12,65.0,2.93,4.0,540.0,0.893,7.0,13.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,6.0,9.0,26.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,10/11/18,at Penn State,L,3-4,0.115,3-6,1.0,0.0,0.0,0.0,0.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,36.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,10/12/18,at Penn State,L,1-5,0.028,1-2,0.0,0.0,0.0,0.0,0.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,8.0,12.0,25.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,10/19/18,UW,W,4-2,0.16,6-23,2.0,0.0,0.0,1.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,6.0,9.0,26.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,10/20/18,HC,W,3-1,0.115,4-8,1.0,0.0,1.0,1.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,7.0,11.0,22.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,10/27/18,CANISIUS,W,4-1,0.182,6-12,0.0,0.0,1.0,1.0,0.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6.0,11.0,17.0,26.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,11/02/18,at Rensselaer,W,6-0,0.231,4-8,1.0,0.0,0.0,1.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,4.0,6.0,17.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,11/03/18,at Union College,L,2-3,0.118,9-29,1.0,0.0,0.0,0.0,0.0,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,6.0,9.0,36.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,11/10/18,at CANISIUS,L,3-6,0.083,7-14,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,5.0,8.0,21.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,11/16/18,MTU,W,3-1,0.143,4-8,0.0,0.0,1.0,1.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,4.0,7.0,25.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,11/17/18,MTU,W,3-1,0.12,6-12,1.0,0.0,1.0,1.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6.0,12.0,18.0,42.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,11/24/18,vs St. Lawrence,W,6-2,0.143,4-8,1.0,0.0,0.0,1.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5.0,9.0,14.0,28.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,11/30/18,BRWN,W,5-1,0.179,4-8,1.0,0.0,0.0,1.0,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,1.0,2.0,20.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,12/01/18,YALE(19),L,1-2,0.05,2-4,1.0,0.0,0.0,0.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,1.0,3.0,50.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,12/07/18,at St. Lawrence,L,2-4,0.04,3-6,0.0,1.0,0.0,0.0,0.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,4.0,7.0,40.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,12/08/18,SLU,W,3-0,0.075,4-8,0.0,0.0,0.0,1.0,0.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,4.0,7.0,29.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,12/28/18,at ARIZONA STATE,W,3-0,0.103,8-16,3.0,0.0,0.0,1.0,0.0,1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,3.0,6.0,15.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,12/29/18,vs MINNESOTA DULUTH,W,3-1,0.2,5-10,0.0,0.0,1.0,1.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,6.0,9.0,30.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,1/06/19,at Vermont,W,3-2,0.1,2-4,0.0,0.0,0.0,1.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5.0,8.0,13.0,23.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,1/11/19,Union College,W,5-1,0.217,4-19,0.0,1.0,1.0,1.0,0.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5.0,10.0,15.0,34.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,1/12/19,RPI,W,5-2,0.147,3-6,2.0,0.0,1.0,1.0,0.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,5.0,9.0,19.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,1/18/19,at Yale Bulldogs,W,4-2,0.211,6-12,1.0,0.0,0.0,1.0,0.0,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,6.0,10.0,22.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,1/19/19,at Brown,W,4-0,0.182,3-6,1.0,0.0,0.0,1.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,6.0,9.0,31.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,1/25/19,at HARV,L,3-4,0.097,0-0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,4.0,6.0,21.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,1/26/19,at Dartmouth,W,2-0,0.095,1-2,0.0,0.0,0.0,1.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,4.0,6.0,27.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,2/01/19,QUINNIPIAC,L,2-4,0.074,4-8,0.0,0.0,0.0,0.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,4.0,7.0,24.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,2/02/19,PRINCETON,W,3-1,0.125,3-6,1.0,1.0,1.0,1.0,0.0,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,0.0,0.0,17.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,2/08/19,at Cornell,L,0-5,0.0,5-10,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,4.0,6.0,22.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,2/09/19,at Colgate,W,2-1,0.091,4-8,0.0,0.0,0.0,1.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,0.0,0.0,29.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,2/15/19,Dartmouth,L,0-1,0.0,3-6,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5.0,6.0,11.0,26.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,2/16/19,HARVARD,W,5-3,0.192,6-12,1.0,0.0,1.0,1.0,0.0,2.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.0,2.0,3.0,25.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,2/22/19,at PRINCETON,T,1-1,0.04,6-12,1.0,0.0,0.0,0.0,0.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5.0,8.0,13.0,33.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,2/23/19,at Quinnipiac,W,5-3,0.152,4-11,0.0,0.0,0.0,1.0,0.0,1.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,2.0,5.0,36.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,3/01/19,Colgate,W,3-2,0.083,3-6,0.0,0.0,0.0,1.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,4.0,6.0,35.0,,,,,,,1.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,3/02/19,Cornell,T,2-2,0.057,3-6,1.0,0.0,0.0,0.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,6.0,9.0,27.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,3/15/19,YALE,W,3-1,0.111,3-6,1.0,0.0,0.0,1.0,0.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5.0,9.0,14.0,30.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,3/16/19,YALE(19),W,5-2,0.167,6-12,3.0,0.0,0.0,1.0,0.0,0.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5.0,9.0,14.0,31.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,3/22/19,vs Harvard,W,5-2,0.161,2-4,0.0,0.0,0.0,1.0,0.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.0,5.0,8.0,27.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,3/23/19,vs Cornell,W,3-2,0.111,2-4,2.0,0.0,0.0,1.0,0.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.0,4.0,6.0,22.0,,,,,,,0.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,3/29/19,vs Notre Dame,L,2-3,0.091,5-21,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,122.0,205.0,327.0,1075.0,,,,,,,1.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,,CLARKSON,,122-78,0.113,158-363,27.0,3.0,9.0,26.0,0.0,8.0,510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,78.0,131.0,209.0,1064.0,,,,,,,1.0,,,,,,,,,,2018-19,Table_5,,,,,,,,,,,,,,Opponents,,78-122,0.073,159-353,18.0,1.0,2.0,11.0,0.0,3.0,520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,0.0,1.0,0.0,,,10/11/18,at Penn State,L,,,,2.0,1.0,0.0,,,,,3-4,60:00,4.0,4.0,28.0,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,0.0,1.0,0.0,,,10/12/18,at Penn State,L,,,,0.0,0.0,1.0,,,,,1-5,60:00,5.0,4.0,30.0,0.857,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,1.0,0.0,0.0,,,10/19/18,UW,W,,,,1.0,0.0,0.0,,,,,4-2,60:00,2.0,2.0,26.0,0.929,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,1.0,0.0,0.0,,,10/20/18,HC,W,,,,1.0,0.0,0.0,,,,,3-1,60:00,1.0,1.0,24.0,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,1.0,0.0,0.0,,,10/27/18,CANISIUS,W,,,,1.0,0.0,0.0,,,,,4-1,60:00,1.0,1.0,15.0,0.938,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,1.0,0.0,0.0,,,11/02/18,at Rensselaer,W,,,,0.0,0.0,0.0,,,,,6-0,60:00,0.0,0.0,34.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,0.0,1.0,0.0,,,11/03/18,at Union College,L,,,,2.0,0.0,0.0,,,,,2-3,60:00,3.0,3.0,26.0,0.897,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,0.0,1.0,0.0,,,11/10/18,at CANISIUS,L,,,,4.0,0.0,0.0,,,,,3-6,60:00,6.0,6.0,24.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,1.0,0.0,0.0,,,11/16/18,MTU,W,,,,0.0,0.0,0.0,,,,,3-1,60:00,1.0,1.0,26.0,0.963,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,1.0,0.0,0.0,,,11/17/18,MTU,W,,,,0.0,0.0,0.0,,,,,3-1,60:00,1.0,1.0,25.0,0.962,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,1.0,0.0,0.0,,,11/24/18,vs St. Lawrence,W,,,,0.0,0.0,0.0,,,,,6-2,60:00,2.0,2.0,18.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,1.0,0.0,0.0,,,11/30/18,BRWN,W,,,,0.0,0.0,0.0,,,,,5-1,60:00,1.0,1.0,27.0,0.964,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,0.0,1.0,0.0,,,12/01/18,YALE(19),L,,,,1.0,0.0,0.0,,,,,1-2,60:00,2.0,2.0,36.0,0.947,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,0.0,1.0,0.0,,,12/07/18,at St. Lawrence,L,,,,0.0,0.0,0.0,,,,,2-4,60:00,4.0,4.0,26.0,0.867,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,1.0,0.0,0.0,,,12/08/18,SLU,W,,,,0.0,0.0,0.0,,,,,3-0,60:00,0.0,0.0,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,1.0,0.0,0.0,,,12/28/18,at ARIZONA STATE,W,,,,0.0,0.0,0.0,,,,,3-0,60:00,0.0,0.0,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,1.0,0.0,0.0,,,12/29/18,vs MINNESOTA DULUTH,W,,,,0.0,0.0,0.0,,,,,3-1,60:00,1.0,1.0,29.0,0.967,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,1.0,0.0,0.0,,,1/06/19,at Vermont,W,,,,0.0,0.0,0.0,,,,,3-2,64:41,2.0,1.88,19.0,0.905,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,1.0,0.0,0.0,,,1/11/19,Union College,W,,,,0.0,0.0,0.0,,,,,5-1,60:00,1.0,1.0,23.0,0.958,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,1.0,0.0,0.0,,,1/12/19,RPI,W,,,,0.0,0.0,0.0,,,,,5-2,60:00,2.0,2.0,23.0,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,1.0,0.0,0.0,,,1/18/19,at Yale Bulldogs,W,,,,1.0,0.0,0.0,,,,,4-2,60:00,2.0,2.0,27.0,0.931,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,1.0,0.0,0.0,,,1/19/19,at Brown,W,,,,0.0,0.0,0.0,,,,,4-0,60:00,0.0,0.0,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,0.0,1.0,0.0,,,1/25/19,at HARV,L,,,,0.0,0.0,0.0,,,,,3-4,62:12,4.0,3.87,37.0,0.902,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,1.0,0.0,0.0,,,1/26/19,at Dartmouth,W,,,,0.0,0.0,0.0,,,,,2-0,60:00,0.0,0.0,31.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,0.0,1.0,0.0,,,2/01/19,QUINNIPIAC,L,,,,1.0,0.0,1.0,,,,,2-4,60:00,4.0,3.0,19.0,0.826,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,1.0,0.0,0.0,,,2/02/19,PRINCETON,W,,,,0.0,0.0,0.0,,,,,3-1,60:00,1.0,1.0,23.0,0.958,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,0.0,1.0,0.0,,,2/08/19,at Cornell,L,,,,2.0,0.0,0.0,,,,,0-5,60:00,5.0,5.0,21.0,0.808,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,1.0,0.0,0.0,,,2/09/19,at Colgate,W,,,,0.0,0.0,0.0,,,,,2-1,60:00,1.0,1.0,28.0,0.966,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,0.0,1.0,0.0,,,2/15/19,Dartmouth,L,,,,0.0,0.0,0.0,,,,,0-1,60:00,1.0,1.0,23.0,0.958,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,1.0,0.0,0.0,,,2/16/19,HARVARD,W,,,,0.0,0.0,0.0,,,,,5-3,60:00,3.0,3.0,30.0,0.909,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,0.0,0.0,1.0,,,2/22/19,at PRINCETON,T,,,,1.0,0.0,0.0,,,,,1-1,65:00,1.0,0.92,35.0,0.972,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,1.0,0.0,0.0,,,2/23/19,at Quinnipiac,W,,,,0.0,0.0,0.0,,,,,5-3,60:00,3.0,3.0,24.0,0.889,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,1.0,0.0,0.0,,,3/01/19,Colgate,W,,,,0.0,0.0,0.0,,,,,3-2,60:00,2.0,2.0,21.0,0.913,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,0.0,0.0,1.0,,,3/02/19,Cornell,T,,,,1.0,0.0,0.0,,,,,2-2,65:00,2.0,1.85,12.0,0.857,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,1.0,0.0,0.0,,,3/15/19,YALE,W,,,,0.0,0.0,0.0,,,,,3-1,60:00,1.0,1.0,23.0,0.958,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,1.0,0.0,0.0,,,3/16/19,YALE(19),W,,,,0.0,0.0,0.0,,,,,5-2,60:00,2.0,2.0,32.0,0.941,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-19,Table_6,,,,,,,,1.0,0.0,0.0,,,3/22/19,vs Harvard,W,,,,0.0,0.0,0.0,,,,,5-2,60:00,2.0,2.0,26.0,0.929,,,,,,,,,,,,,,,,,,,,,,,,,,
