Statistic,Clarkson,Opponents OPP,Season,Type,"('#', '#')","('Player', 'Player')","('GP', 'GP')","('Shots', 'G')","('Shots', 'A')","('Shots', 'PTS')","('Shots', 'SH')","('Shots', 'SH%')","('Shots', '+/-')","('Goals', 'PPG')","('Goals', 'SHG')","('Goals', 'FG')","('Goals', 'GWG')","('Goals', 'GTG')","('Goals', 'OTG')","('Goals', 'HTG')","('Goals', 'UAG')","('Penalties', 'PN-PIM')","('Penalties', 'MIN')","('Penalties', 'MAJ')","('Penalties', 'OTH')","('BLK', 'BLK')","('Bio Link', 'Bio Link')","('Season', '')","('Type', '')","('GP-GS', 'GP-GS')","('MIN', 'MIN')","('Goals', 'GA')","('Goals', 'AVG')","('Goals', 'ENG')","('Saves', 'SV')","('Saves', 'SV%')","('Record', 'W')","('Record', 'L')","('Record', 'T')","('Record', 'SHO')","('Record', 'SO')","('Unnamed: 0_level_0', 'Date')","('Unnamed: 1_level_0', 'Opponent')","('Unnamed: 2_level_0', 'W/L')","('Shots', 'Score')","('Shots', 'PCT')","('Penalty', 'NO/MIN')","('Goals', 'PP')","('Goals', 'SH')","('Goals', 'EN')","('Goals', 'GW')","('Goals', 'HT')","('Goals', 'UA')","('Unnamed: 17_level_0', 'BLK')","('Unnamed: 3_level_0', 'Score')","('Goals Against', 'Minutes')","('Goals Against', 'GA')","('Goals Against', 'AVG')","('Saves', 'Saves')","('Saves', 'PCT')","('Shot Summary', 'Goals')","('Shot Summary', 'Assists')","('Shot Summary', 'Shots')","('Penalties', 'NO/MIN')","('Penalties', 'Unnamed: 7_level_1')","('Penalties', 'NO/MIN.1')",High,Game(s),Low,Player - Game,Date,Opponent,MIN,GA,SV,PPG,SHG,ENG,SOG,G,A,SH,FW-FL,PN,PIM,CLARKSON
,,,,,29,"Pakulak, Luke Pakulak, Luke",25.0,2.0,1.0,3.0,19.0,0.105,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-4,2.0,0.0,0.0,11.0,View Bio,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,55,"Sparkes, Jack Sparkes, Jack",37.0,0.0,2.0,2.0,25.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17-42,16.0,0.0,1.0,15.0,View Bio,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,60,"Avakyan, Nick Avakyan, Nick",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,"Houle, Noah Houle, Noah",6.0,0.0,0.0,0.0,3.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2-4,2.0,0.0,0.0,4.0,View Bio,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35,"Rancier, Keenan Rancier, Keenan",10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,"Soderwall, Shane Soderwall, Shane",35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.0,0.0,0.0,0.0,View Bio,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TM,Team Team,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1-2,1.0,0.0,0.0,0.0,,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Total,38.0,111.0,186.0,297.0,1116.0,0.099,-21.0,26.0,4.0,15.0,18.0,2.0,2.0,0.0,8.0,202-501,188.0,3.0,10.0,434.0,,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Opponents,38.0,111.0,186.0,297.0,1011.0,0.11,5.0,24.0,5.0,22.0,17.0,1.0,0.0,2.0,7.0,199-509,182.0,5.0,12.0,495.0,,2025-26,Table_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,30,"Soderwall, Shane Soderwall, Shane",,,,,,,,20.0,3.0,,,,,,,,,,,,View Bio,2025-26,Table_2,35-35,1958:15,83.0,2.54,0.0,789.0,0.905,17.0,14.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
